"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2014 WE6)","2104-2109","5","4.7e-5","4.42","30.3","0.003","-7.33","-7.62","0","bK14W06E"
"(2016 TC57)","2112-2112","1","1.1e-6","8.74","27.0","0.013","-7.33","-7.33","0","bK16T57C"
"(2016 WN7)","2095-2095","1","2.6e-6","6.16","27.9","0.009","-7.33","-7.33","0","bK16W07N"
"(2006 XZ2)","2074-2115","6","7.5e-7","9.05","27.1","0.013","-7.34","-7.63","0","bK06X02Z"
"(2008 KT)","2091-2116","9","5.3e-6","2.99","28.2","0.008","-7.34","-7.52","0","bK08K00T"
"(2011 UD21)","2116-2116","1","7.4e-6","1.32","28.5","0.007","-7.35","-7.35","0","bK11U21D"
"(2016 LE10)","2035-2072","3","4.0e-7","12.63","27.1","0.013","-7.35","-7.56","0","bK16L10E"
"(2016 TH)","2072-2115","26","9.3e-6","7.41","29.4","0.004","-7.39","-7.58","0","bK16T00H"
"(2017 DP109)","2086-2086","2","4.3e-7","12.33","26.9","0.014","-7.39","-7.58","0","bK17DA9P"
"(2013 JM22)","2095-2095","1","3.2e-9","29.67","23.3","0.075","-7.39","-7.39","0","bK13J22M"
"(2011 EM40)","2054-2113","12","1.4e-6","10.70","28.0","0.009","-7.40","-8.01","0","bK11E40M"
"(2015 VL64)","2085-2109","8","3.0e-6","8.68","28.3","0.007","-7.40","-7.97","0","bK15V64L"
"(2006 WK130)","2103-2103","1","2.0e-9","20.74","22.4","0.110","-7.41","-7.41","0","bK06WD0K"
"(2007 EE126)","2065-2092","3","3.2e-8","31.60","25.6","0.026","-7.41","-7.62","0","bK07EC6E"
"(2012 UE)","2040-2058","6","9.3e-7","13.22","28.4","0.007","-7.41","-7.70","0","bK12U00E"
"(2016 WR55)","2100-2115","13","2.5e-6","14.12","28.3","0.007","-7.41","-7.74","0","bK16W55R"
"(1993 HP1)","2065-2112","4","4.5e-7","9.84","26.9","0.014","-7.42","-7.63","0","bJ93H01P"
"(2008 CJ)","2061-2106","2","1.1e-6","8.06","27.3","0.012","-7.42","-7.42","0","bK08C00J"
"(2009 WJ6)","2049-2056","2","3.0e-7","18.16","27.6","0.010","-7.43","-7.45","0","bK09W06J"
"(2016 VZ17)","2021-2116","179","4.1e-7","9.72","27.4","0.011","-7.43","-8.43","0","bK16V17Z"
"(2001 SD286)","2080-2080","1","5.7e-8","12.56","25.2","0.030","-7.44","-7.44","0","bK01SS6D"
"(2008 CB6)","2083-2105","3","7.2e-7","7.43","27.1","0.013","-7.44","-7.52","0","bK08C06B"
"(2016 JA)","2064-2103","9","1.0e-6","7.59","27.5","0.011","-7.44","-7.86","0","bK16J00A"
"(2016 SR2)","2103-2105","2","3.9e-7","5.96","26.3","0.019","-7.44","-7.61","0","bK16S02R"
"(2011 AZ22)","2034-2114","8","1.1e-6","12.52","28.6","0.006","-7.45","-7.55","0","bK11A22Z"
"(2011 UR63)","2110-2110","2","1.4e-7","12.57","25.7","0.024","-7.45","-7.57","0","bK11U63R"
"(2017 SQ2)","2092-2092","1","1.6e-7","9.76","25.9","0.023","-7.45","-7.45","0","bK17S02Q"
"(2010 XP)","2021-2116","73","1.4e-7","8.25","26.8","0.015","-7.46","-7.91","0","bK10X00P"
"(2014 KS76)","2089-2107","3","4.4e-7","7.18","26.6","0.016","-7.46","-7.62","0","bK14K76S"
"(2004 FY3)","2104-2116","2","7.5e-8","11.79","25.1","0.032","-7.47","-7.51","0","bK04F03Y"
"(2015 VN64)","2088-2094","3","6.2e-7","15.86","27.5","0.010","-7.47","-7.73","0","bK15V64N"
"(2016 QY84)","2020-2116","815","2.7e-5","3.16","31.7","0.002","-7.47","-8.65","0","bK16Q84Y"
